"pathway_id","pathway_name","p_value_adjust","mapped_id"
"hsa00470","D-Amino acid metabolism",8.68248651186408e-17,"C00025;C00079;C00148;C00188;C00135;C00047;C00062;C00739;C00792;C00666;C00217;C00064;C03771;C00819;C00097;C05161;C00166;C02265;C00793;C00820;C05620"
"hsa04974","Protein digestion and absorption",3.05924785634282e-09,"C00025;C00082;C00079;C00148;C00188;C00407;C00135;C00047;C00062;C00123;C00078;C00064;C00097"
"hsa00970","Aminoacyl-tRNA biosynthesis",8.37278227415805e-09,"C00025;C00082;C00079;C00148;C00188;C00407;C00135;C00047;C00062;C00123;C00078;C00064;C00097"
"hsa05230","Central carbon metabolism in cancer",2.54427637915093e-08,"C00025;C00082;C00079;C00148;C00407;C00135;C00062;C00123;C00078;C00064;C00097"
"hsa00330","Arginine and proline metabolism",3.66826348488431e-05,"C00025;C00148;C00062;C01682;C01035;C03771;C04137;C15700;C15699;C15767;C00884"
"hsa00260","Glycine, serine and threonine metabolism",5.78311630659492e-05,"C00188;C00078;C00097;C00109;C02291;C19929;C03283;C00263;C06442"
"hsa04978","Mineral absorption",0.000136642756527487,"C00079;C00148;C00188;C00407;C00123;C00078;C00064"
"hsa00310","Lysine degradation",0.000608631084625007,"C00047;C00739;C05161;C00449;C04020;C00450;C04092;C00990"
"hsa00360","Phenylalanine metabolism",0.00187792554578978,"C00082;C00079;C04044;C00166;C02265;C03519;C02763;C04148"
"hsa02010","ABC transporters",0.00236347311329962,"C00025;C00079;C00148;C00188;C00407;C00135;C00047;C00062;C00123;C01682;C00064;C04137"
"hsa00270","Cysteine and methionine metabolism",0.00285513192035465,"C00097;C00109;C05324;C02291;C00263;C01077;C01118;C00793"
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",0.00285513192035465,"C00082;C00079;C00078;C00108;C17235;C00166"
"hsa00290","Valine, leucine and isoleucine biosynthesis",0.0034960773880845,"C00188;C00407;C00123;C00109;C06032"
"hsa00790","Folate biosynthesis",0.00753879414246122,"C00272;C00568;C04244;C00268;C15522;C21640;C11355"
"hsa00250","Alanine, aspartate and glutamate metabolism",0.00805975232029317,"C00025;C00940;C00064;C03406;C20776"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",0.0100203510261265,"C00025;C01441;C17582;C17583;C17209;C17580;C17581;C02627"
"hsa05030","Cocaine addiction",0.011008790918916,"C00025;C00082;C00355"
"hsa05034","Alcoholism",0.0203909012549362,"C00025;C00082;C00355"
"hsa05031","Amphetamine addiction",0.0203909012549362,"C00025;C00082;C00355"
"hsa00220","Arginine biosynthesis",0.0261884637616629,"C00025;C00062;C00064;C03406"
"hsa04150","mTOR signaling pathway",0.0434728835605153,"C00062;C00123"
